, elasticity ,inertia,length ,load_P,V_dis,cubed_L,inv_E,inv_I
0,200,3010000,5,6,62.2923588,125,0.005,0.0000003322259136
1,208,458000,7,16,2880.416527,343,0.004807692308,0.000002183406114
2,195,1830000,1,11,1.541263836,1,0.005128205128,0.0000005464480874
3,210,8650,7,16,151059.7303,343,0.004761904762,0.0001156069364
4,212,8650,3,4,2944.704984,27,0.004716981132,0.0001156069364
5,198,1830000,20,2,2207.87106,8000,0.005050505051,0.0000005464480874
6,208,13500000,17,16,1399.7151,4913,0.004807692308,0.00000007407407407
7,208,7120000,11,1,44.93706785,1331,0.004807692308,0.0000001404494382
8,195,3010000,11,6,680.2964477,1331,0.005128205128,0.0000003322259136
9,200,8650,7,20,198265.896,343,0.005,0.0001156069364
10,193,3010000,13,25,4727.333758,2197,0.00518134715,0.0000003322259136
11,193,7120000,15,30,3684.068813,3375,0.00518134715,0.0000001404494382
12,190,152000,1,4,6.925207756,1,0.005263157895,0.000006578947368
13,210,32200,13,20,324903.8746,2197,0.004761904762,0.00003105590062
14,208,985000,20,15,29285.43538,8000,0.004807692308,0.000001015228426
15,210,7120000,5,20,83.60085607,125,0.004761904762,0.0000001404494382
16,200,7120000,15,15,1777.563202,3375,0.005,0.0000001404494382
17,198,152000,15,16,89712.91866,3375,0.005050505051,0.000006578947368
18,190,13500000,15,2,131.5789474,3375,0.005263157895,0.00000007407407407
19,205,41500000,7,2,4.031736703,343,0.00487804878,0.00000002409638554
20,193,8650,3,6,4851.897331,27,0.00518134715,0.0001156069364
21,195,1830000,9,6,612.8625473,729,0.005128205128,0.0000005464480874
22,193,458000,1,2,1.131298504,1,0.00518134715,0.000002183406114
23,195,13500000,5,2,4.748338082,125,0.005128205128,0.00000007407407407
24,193,458000,17,4,11116.1391,4913,0.00518134715,0.000002183406114
25,190,985000,7,11,1008.014961,343,0.005263157895,0.000001015228426
26,193,41500000,11,15,124.633248,1331,0.00518134715,0.00000002409638554
27,212,458000,13,16,18101.67257,2197,0.004716981132,0.000002183406114
28,212,7120000,5,20,82.81216875,125,0.004716981132,0.0000001404494382
29,198,7120000,11,2,94.41323346,1331,0.005050505051,0.0000001404494382
30,195,8650,9,15,324144.064,729,0.005128205128,0.0001156069364
