, elasticity ,inertia,length ,load_P,V_dis,cubed_L,inv_E,inv_I
0,193,458000,5,6,424.2369392,125,0.00518134715,0.000002183406114
1,212,41500000,1,6,0.03409865879,1,0.004716981132,0.00000002409638554
2,195,32200,20,25,1592610.288,8000,0.005128205128,0.00003105590062
3,198,3010000,17,4,1648.713044,4913,0.005050505051,0.0000003322259136
4,193,8650,20,4,958399.4729,8000,0.00518134715,0.0001156069364
5,212,1830000,1,30,3.866377977,1,0.004716981132,0.0000005464480874
6,212,3010000,11,15,1564.360935,1331,0.004716981132,0.0000003322259136
7,208,3010000,13,25,4386.420266,2197,0.004807692308,0.0000003322259136
8,200,41500000,1,25,0.1506024096,1,0.005,0.00000002409638554
9,205,3010000,15,20,5469.572968,3375,0.00487804878,0.0000003322259136
10,200,458000,17,11,29499.45415,4913,0.005,0.000002183406114
11,198,1830000,20,11,12143.29083,8000,0.005050505051,0.0000005464480874
12,208,985000,1,25,6.10113237,1,0.004807692308,0.000001015228426
13,203,7120000,11,25,1151.097304,1331,0.004926108374,0.0000001404494382
14,195,32200,3,11,2365.026278,27,0.005128205128,0.00003105590062
15,200,8650,3,1,780.3468208,27,0.005,0.0001156069364
16,190,152000,17,16,136094.1828,4913,0.005263157895,0.000006578947368
17,195,985000,13,4,2287.648054,2197,0.005128205128,0.000001015228426
18,203,458000,1,15,8.066771355,1,0.004926108374,0.000002183406114
19,200,8650,9,25,526734.104,729,0.005,0.0001156069364
20,208,8650,17,2,273065.807,4913,0.004807692308,0.0001156069364
21,193,13500000,15,2,129.5336788,3375,0.00518134715,0.00000007407407407
22,195,152000,15,15,85399.79757,3375,0.005128205128,0.000006578947368
23,203,7120000,17,30,5098.729728,4913,0.004926108374,0.0000001404494382
24,195,13500000,3,1,0.5128205128,27,0.005128205128,0.00000007407407407
25,190,1830000,5,16,287.6042565,125,0.005263157895,0.0000005464480874
26,210,1830000,1,1,0.1301066875,1,0.004761904762,0.0000005464480874
27,212,32200,15,2,49440.40783,3375,0.004716981132,0.00003105590062
28,205,458000,13,30,35099.58462,2197,0.00487804878,0.000002183406114
29,198,985000,1,16,4.101933036,1,0.005050505051,0.000001015228426
30,193,152000,5,2,426.0976275,125,0.00518134715,0.000006578947368
